"Låtens URI","Låtens namn","Artistens URI","Artistens namn","Albumets URI","Albumets namn","Albumartistens URI","Albumartistens namn","Albumets releasedatum","Albumets bild-URL","Skivnummer","Låtnummer","Låtlängd (ms)","Förhandsgranskning URL","Explicit","Popularitet","ISRC","Tillagd av","Tillagd vid","Artistens genrer","Dansbarhet","Energi","Tonart","Ljudstyrka","Läge","Talighet","Akustik","Instrumentalhet","Livlighet","Valens","Tempo","Taktart","Albumets genrer","Skivbolag","Upphovsrätt"
"spotify:track:2VUxClXJ17cRPZJhabOCQY","Jag & Åke","spotify:artist:55ZGFvikpNjQHvtTWS5aZF","Bolaget","spotify:album:2ZcUCCm05m3K5dHb61s4W8","Jag & Åke","spotify:artist:55ZGFvikpNjQHvtTWS5aZF","Bolaget","2020-03-27","https://i.scdn.co/image/ab67616d0000b273b1177d4bd0e3437f57e00fdf","1","1","158437","https://p.scdn.co/mp3-preview/20f1accedada503e8be4c81a31f296b09e401cbb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","NL1AP2020791","spotify:user:isak.sjoholm.","2024-04-13T20:31:47Z","epadunk,svensk pop","0.671","0.491","11","-8.788","0","0.0492","0.268","0","0.114","0.391","127.87","4","","WM Sweden","C © 2020 Bolaget Records / Warner Music Sweden AB, P ℗ 2020 Bolaget Records / Warner Music Sweden AB"
"spotify:track:29YN98sTVSpfYMpPzFXaGU","Välkommen ner","spotify:artist:55ZGFvikpNjQHvtTWS5aZF","Bolaget","spotify:album:2g6uhhynepaJyUn5eFR4qN","Välkommen ner","spotify:artist:55ZGFvikpNjQHvtTWS5aZF","Bolaget","2024-04-10","https://i.scdn.co/image/ab67616d0000b2730ac0c89f055e4ba3bca16862","1","1","158062","https://p.scdn.co/mp3-preview/3c59f612f231a7745c42fdc522c992d43566fbc9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","SE69R2400101","spotify:user:isak.sjoholm.","2024-04-13T20:31:47Z","epadunk,svensk pop","0.475","0.56","10","-7.321","0","0.0552","0.049","0","0.0794","0.613","159.926","4","","WM Sweden","C © 2024 Geten Ruben AB under exclusive license to BIG DROP Music a division of Warner Music Sweden AB, P ℗ 2024 Geten Ruben AB under exclusive license to BIG DROP Music a division of Warner Music Sweden AB"
"spotify:track:15vhsww4sVuzPOqN04DdBc","Farväl","spotify:artist:55ZGFvikpNjQHvtTWS5aZF","Bolaget","spotify:album:3OBYM95WFMy24ZiWK5vPHQ","Farväl","spotify:artist:55ZGFvikpNjQHvtTWS5aZF","Bolaget","2023-09-13","https://i.scdn.co/image/ab67616d0000b273d516db2bf0dbf8051cade905","1","1","158507","https://p.scdn.co/mp3-preview/f2c15996503cd3ba1db936b50e58d1ff044a0f8a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","SE69R2300002","spotify:user:isak.sjoholm.","2024-04-13T20:31:47Z","epadunk,svensk pop","0.621","0.533","2","-7.787","1","0.0843","0.351","0","0.121","0.576","133.74","4","","WM Sweden","C © 2023 Geten Ruben AB under exclusive license to BIG DROP Music a division of Warner Music Sweden AB, P ℗ 2023 Geten Ruben AB under exclusive license to BIG DROP Music a division of Warner Music Sweden AB"
"spotify:track:4BnhXcMQQ3wud386D8y4ip","Nykter","spotify:artist:55ZGFvikpNjQHvtTWS5aZF","Bolaget","spotify:album:0qPGYIz6I0xPa21v62lgd4","Nykter","spotify:artist:55ZGFvikpNjQHvtTWS5aZF","Bolaget","2019-11-04","https://i.scdn.co/image/ab67616d0000b27379b4af16d91d63aaafe66438","1","1","152129","https://p.scdn.co/mp3-preview/7f0096225c0911b028240f2ba809f5295ac64be2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","NL1AP1975249","spotify:user:isak.sjoholm.","2024-04-13T20:31:47Z","epadunk,svensk pop","0.594","0.591","1","-8.433","0","0.378","0.352","0","0.171","0.482","155.062","4","","WM Sweden","C © 2019 Bolaget Records / Warner Music Sweden AB, P ℗ 2019 Bolaget Records / Warner Music Sweden AB"
"spotify:track:1A4u3WoXJOs3QVd4NLyD0Z","Brände hela lönen","spotify:artist:55ZGFvikpNjQHvtTWS5aZF, spotify:artist:7iW0o1suit8xY24m9M5L0u","Bolaget, De Vet Du","spotify:album:2ChKVlXQs0H9MhKzbLCQXc","Brände hela lönen","spotify:artist:55ZGFvikpNjQHvtTWS5aZF, spotify:artist:7iW0o1suit8xY24m9M5L0u","Bolaget, De Vet Du","2021-09-29","https://i.scdn.co/image/ab67616d0000b273dd82fc9dc13f11f2566e7697","1","1","165454","https://p.scdn.co/mp3-preview/7d003d8bc4de2a6d3c4bf7957a4da6aeaa858ca9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","SE5S62107301","spotify:user:isak.sjoholm.","2024-04-13T20:31:47Z","epadunk,svensk pop,epadunk","0.597","0.536","0","-11.031","1","0.0372","0.042","0","0.197","0.645","131.935","4","","WM Sweden","C © 2021 Bolaget Records / Warner Music Sweden AB, P ℗ 2021 Bolaget Records / Warner Music Sweden AB"
"spotify:track:2z4U9d5OAA4YLNXoCgioxo","What the Hell","spotify:artist:0p4nmQO2msCgU4IF37Wi3j","Avril Lavigne","spotify:album:1COPJyU2PpM2Itcob3vhFF","Goodbye Lullaby (Expanded Edition)","spotify:artist:0p4nmQO2msCgU4IF37Wi3j","Avril Lavigne","2011-03-08","https://i.scdn.co/image/ab67616d0000b27372c9f7a7c75eba39726106a6","1","2","220706","https://p.scdn.co/mp3-preview/8c0591b363bc2a165eb4f12829a1995e0b84d5fb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USRC11000915","spotify:user:isak.sjoholm.","2024-04-13T20:31:47Z","","0.578","0.926","6","-3.689","0","0.0548","0.00472","0.0127","0.14","0.877","149.976","4","","Epic","P (P) 2011 Sony Music Entertainment"
"spotify:track:0H6rpW1xnJ8qRQwSrIADPE","Scarface (Push It To The Limit)","spotify:artist:3Rfb8wuY9YHVntDXJqPW6r","Paul Engemann","spotify:album:6ccQdoDqZsqWlflxEIg0F3","Scarface (Expanded Motion Picture Soundtrack)","spotify:artist:6jU2Tt13MmXYk0ZBv1KmfO","Giorgio Moroder","1983","https://i.scdn.co/image/ab67616d0000b27397475ef2470f186d30235fe3","2","1","178480","https://p.scdn.co/mp3-preview/92248b761d93090741129e1fce6b4a2a51b0ebcd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USMC10346186","spotify:user:isak.sjoholm.","2024-04-13T20:31:47Z","","0.571","0.609","10","-10.691","0","0.0324","0.0299","0.00000289","0.66","0.27","156.203","4","","Back Lot Music","C 1983 Universal Studios, P 2022 Back Lot Music, a division of Universal Studios Music LLLP"
"spotify:track:6pb5DtlAeG95dNQLHiArRU","Rock My Body","spotify:artist:6cEuCEZu7PAE9ZSzLLc2oQ, spotify:artist:2w9zwq3AktTeYYMuhMjju8, spotify:artist:5XTxV2ifoYkmNb13Gb6cKz","R3HAB, INNA, Sash!","spotify:album:1ItxfUvQVlH7sAybyJ1SpB","Rock My Body (with INNA & Sash!)","spotify:artist:6cEuCEZu7PAE9ZSzLLc2oQ, spotify:artist:2w9zwq3AktTeYYMuhMjju8, spotify:artist:5XTxV2ifoYkmNb13Gb6cKz","R3HAB, INNA, Sash!","2023-04-28","https://i.scdn.co/image/ab67616d0000b27368eb565abb15fc77286076f8","1","1","137419","https://p.scdn.co/mp3-preview/962a8a205fd27aff7d24bda48a597d19e2307fc4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","AEA2D2300315","spotify:user:isak.sjoholm.","2024-04-13T20:31:47Z","slap house,edm,europop,eurodance","0.662","0.821","2","-4.103","0","0.13","0.202","0","0.522","0.47","124.077","4","","Spinnin' Records","C Under exclusive license to Spinnin' Records B.V., © 2023 CYB3RPVNK, P Under exclusive license to Spinnin' Records B.V., ℗ 2023 CYB3RPVNK"
"spotify:track:6KOzO2mUwSwe8a9GiJAn7X","Kan Inte Gå","spotify:artist:55ZGFvikpNjQHvtTWS5aZF","Bolaget","spotify:album:1rOwYVdRnJW8rHhEkG6zfC","Kan Inte Gå","spotify:artist:55ZGFvikpNjQHvtTWS5aZF","Bolaget","2021-12-29","https://i.scdn.co/image/ab67616d0000b273031ac25272d74c1b0b18c4de","1","1","146718","https://p.scdn.co/mp3-preview/c024495c4d0d850f2511466a0db8b50759a81220?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","SE5S62109301","spotify:user:isak.sjoholm.","2024-04-13T20:31:47Z","epadunk,svensk pop","0.721","0.414","11","-9.104","0","0.132","0.219","0","0.164","0.652","144.758","4","","WM Sweden","C © 2021 Bolaget Records / Warner Music Sweden AB, P ℗ 2021 Bolaget Records / Warner Music Sweden AB"
"spotify:track:5ZduaRci3iNUiDfJbBfAaf","Give It To Me - Full Vocal Mix","spotify:artist:21dVknSLCsK37cWozWDZZS","Matt Sassari","spotify:album:1jbRY71konakrKvDUiW7Rp","Give It To Me (Full Vocal Mix)","spotify:artist:21dVknSLCsK37cWozWDZZS","Matt Sassari","2021-10-22","https://i.scdn.co/image/ab67616d0000b2736a1e9d7201b74142e2d47b69","1","1","102860","https://p.scdn.co/mp3-preview/50081928cfabde0d63a4d78f893542711259652d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","GBHAD2102631","spotify:user:isak.sjoholm.","2024-04-13T20:31:47Z","tech house","0.874","0.869","1","-5.996","0","0.0315","0.00116","0.00238","0.164","0.726","126.027","4","","Cr2 Records","C 2021 Cr2 Records Ltd, P 2021 Cr2 Records Ltd"
"spotify:track:5ebvNOw5QVR4x56FHoPrx1","All Night Long - Ti-Mo Remix Edit","spotify:artist:3PP6GfVoBs5ZGlUQjIOAmP, spotify:artist:73JwGHDxXzf3LpzZTqz2GG","Ray Knox, Ti-mo","spotify:album:3DvIHY67ETANR3np7j7Lfc","All Night Long","spotify:artist:3PP6GfVoBs5ZGlUQjIOAmP","Ray Knox","2013-02-01","https://i.scdn.co/image/ab67616d0000b2739e60ce484c81d34516870484","1","2","198465","https://p.scdn.co/mp3-preview/0a5213baa48340869879973bc55f3f641c3c08b6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","DEGP21200525","spotify:user:isak.sjoholm.","2024-04-13T20:31:47Z","hardstyle","0.659","0.989","7","-4.81","1","0.0687","0.00187","0.000206","0.569","0.563","142.04","4","","Klubbstyle","C 2013 Klubbstyle Records Germany, P 2013 Klubbstyle Records Germany"
"spotify:track:5eTaQYBE1yrActixMAeLcZ","Miracle (with Ellie Goulding)","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:0X2BH1fck6amBIoJhDVmmJ","Calvin Harris, Ellie Goulding","spotify:album:22UyygZceCIfoE0RhENgKx","Miracle (with Ellie Goulding)","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:0X2BH1fck6amBIoJhDVmmJ","Calvin Harris, Ellie Goulding","2023-03-10","https://i.scdn.co/image/ab67616d0000b273c58e22815048f8dfb1aa8bd0","1","1","186496","https://p.scdn.co/mp3-preview/48a88093bc85e735791115290125fc354f8ed068?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","GBARL2300300","spotify:user:isak.sjoholm.","2024-04-13T20:31:47Z","edm","0.636","0.869","9","-5.289","1","0.0412","0.0378","0.0446","0.0808","0.306","143.011","4","","Columbia","P (P) 2023 Sony Music Entertainment UK Limited"
"spotify:track:1UPHCP5YeVfele4DMbdGyi","REACT","spotify:artist:4dEayBlrVBjaQOktGkmWki, spotify:artist:7nDsS0l5ZAzMedVRKPP8F1, spotify:artist:2YVF0Ou5zIc4mpgtLIlGN0","Switch Disco, Ella Henderson, Robert Miles","spotify:album:3opvHAj80TIQMZAg9a2FNv","REACT","spotify:artist:4dEayBlrVBjaQOktGkmWki, spotify:artist:7nDsS0l5ZAzMedVRKPP8F1, spotify:artist:2YVF0Ou5zIc4mpgtLIlGN0","Switch Disco, Ella Henderson, Robert Miles","2023-01-13","https://i.scdn.co/image/ab67616d0000b27321acc4c231327248498a35da","1","1","201145","https://p.scdn.co/mp3-preview/1ccd633352ed7ab512effe531f7ca17c1e13d24c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","GBARL2202525","spotify:user:isak.sjoholm.","2024-04-13T20:31:47Z","trance,eurodance","0.737","0.899","6","-3.189","0","0.0556","0.0329","0","0.186","0.358","125.992","4","","Relentless Records","P (P) 2023 Relentless Records under exclusive licence to Sony Music Entertainment UK Limited"
"spotify:track:0mV43B6pJWRjcM5TmzNe6d","EveryTime I Cry","spotify:artist:4npEfmQ6YuiwW1GpUmaq3F","Ava Max","spotify:album:5W79aGcuoBYk0Mb2QL2Jcw","EveryTime I Cry","spotify:artist:4npEfmQ6YuiwW1GpUmaq3F","Ava Max","2021-06-08","https://i.scdn.co/image/ab67616d0000b27393fc5ac4fab909bf00efb02e","1","1","177855","https://p.scdn.co/mp3-preview/b1f1f1b115d54d7b85c22be58b6ee4f44d1930c2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","USAT22102010","spotify:user:isak.sjoholm.","2024-04-13T20:31:47Z","","0.727","0.832","9","-4.327","0","0.0366","0.181","0","0.0615","0.213","127.035","4","","Atlantic Records","C © 2021 Atlantic Records Group LLC, P ℗ 2021 Atlantic Records Group LLC."
"spotify:track:5GjnIpUlLGEIYk052ISOw9","This Is What It Feels Like","spotify:artist:0SfsnGyD8FpIN4U4WCkBZ5, spotify:artist:6NXk2pLFocS2OkNdT7ncBt","Armin van Buuren, Trevor Guthrie","spotify:album:5ZsK5SUsZilbAJ4B0vRVxF","Intense","spotify:artist:0SfsnGyD8FpIN4U4WCkBZ5","Armin van Buuren","2013-05-03","https://i.scdn.co/image/ab67616d0000b273048012a99d7a62440392f529","1","2","204360","https://p.scdn.co/mp3-preview/3f200355f2d70cb3eb2957c8b88578b1cc272a27?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","NLF711303312","spotify:user:isak.sjoholm.","2024-04-13T20:31:47Z","trance,progressiv trance,progressiv house,electronica,edm","0.551","0.833","8","-5.217","1","0.03","0.0391","0.00000277","0.0632","0.145","129.885","5","","ARVA","C 2013 Armada Music B.V., P 2013 Armada Music B.V."
"spotify:track:1M2w5kFTTv2yt6tafuImpd","SOS","spotify:artist:4VxhlCrL73BKHepsnxqLiG","Emilia Pantic","spotify:album:2owbA2UB3CbCdi3NRUMeCd","SOS","spotify:artist:4VxhlCrL73BKHepsnxqLiG","Emilia Pantic","2022-09-16","https://i.scdn.co/image/ab67616d0000b273c8838e46401b91a6ca055d1a","1","1","178609","https://p.scdn.co/mp3-preview/f70bcab2034d61ef00ca29defb0f774f3c589416?cid=9950ac751e34487dbbe027c4fd7f8e99","true","35","SEBGA2202600","spotify:user:isak.sjoholm.","2024-04-13T20:31:47Z","svensk pop,epadunk","0.679","0.793","1","-5.432","0","0.116","0.0171","0","0.632","0.704","160.024","4","","Sony Music Local","P (P) 2022 Sony Music Entertainment Sweden AB"
"spotify:track:3FkeNbs9Zeiqkr3WkbOiGp","Envolver","spotify:artist:7FNnA9vBm6EKceENgCGRMb","Anitta","spotify:album:2TPl41Riu1SDbHoxhCIo2D","Versions of Me","spotify:artist:7FNnA9vBm6EKceENgCGRMb","Anitta","2022-04-12","https://i.scdn.co/image/ab67616d0000b27396e2642422ad16661e673fa2","1","1","193805","https://p.scdn.co/mp3-preview/1e4312cd2a09aa2d40818347cc7f157576fe8f1d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USWL12100576","spotify:user:isak.sjoholm.","2024-04-13T20:31:47Z","brasiliansk pop,funkpop,funk carioca,funk,pagode baiano","0.812","0.736","4","-5.421","0","0.0833","0.152","0.00254","0.0914","0.396","91.993","4","","Warner Records","C © 2022 Warner Records Inc., P ℗ 2022 Warner Records Inc."
"spotify:track:1DjLQFQRBsm9D8aCO4FqR2","I'm Coming Out / Upside Down - Chris Cox Remix Radio Edit","spotify:artist:3MdG05syQeRYPPcClLaUGl, spotify:artist:1PLakF1tFiv9zn73N2UjaN","Diana Ross, Chris Cox","spotify:album:1RbjPj2NdORscsum5zCfWL","I'm Coming Out / Upside Down","spotify:artist:3MdG05syQeRYPPcClLaUGl","Diana Ross","2018-08-10","https://i.scdn.co/image/ab67616d0000b273d978d742904d56568fce5054","1","8","209032","https://p.scdn.co/mp3-preview/d314a1c0d457d45b6423664656f0045b949a61fe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USUM71811151","spotify:user:isak.sjoholm.","2024-04-13T20:31:47Z","motown,disco,tribal house","0.698","0.987","5","-0.978","1","0.039","0.00141","0.0118","0.323","0.759","124.011","4","","UNI/MOTOWN","C © 2018 UMG Recordings, Inc., P This Compilation ℗ 2018 UMG Recordings, Inc."
"spotify:track:1CCjb1x6tRof8W6ApIJy6o","On My Love - Felix Jaehn Remix","spotify:artist:1Xylc3o4UrD53lo9CvFvVg, spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:4bL2B6hmLlMWnUEZnorEtG","Zara Larsson, David Guetta, Felix Jaehn","spotify:album:0LMyvKO91nmgBAb1JFpIQw","On My Love (Felix Jaehn Remix)","spotify:artist:1Xylc3o4UrD53lo9CvFvVg, spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:4bL2B6hmLlMWnUEZnorEtG","Zara Larsson, David Guetta, Felix Jaehn","2023-09-14","https://i.scdn.co/image/ab67616d0000b273fbd2327e68abb126e456a33c","1","1","210000","https://p.scdn.co/mp3-preview/56abf826b67b2f0712a1b2eaac5c84474cf5c266?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","USSM12307443","spotify:user:isak.sjoholm.","2024-04-13T20:31:47Z","edm,dance,tropical house","0.647","0.848","1","-4.999","1","0.209","0.0458","0.144","0.074","0.272","144.968","4","","Sommer House/Epic","P (P) 2023 Sommer House, under exclusive license to Epic Records, a division of Sony Music Entertainment."
